Location,media_sin_grupo,delta_vs_global,n_grupo
Cairns,2.288346466874026,-0.07257168304264017,2988
Darwin,2.2981741795318187,-0.06274397038484736,3193
CoffsHarbour,2.3036467833905463,-0.05727136652611975,2953
Woomera,2.40110769496006,0.04018954504339378,2991
AliceSprings,2.3931204955197716,0.03220234560310553,3032
Mildura,2.391505258922926,0.03058710900626016,3007
GoldCoast,2.330769507035678,-0.030148642880988064,2980
SalmonGums,2.3890695469822756,0.02815139706560954,2955
Cobar,2.387396110939509,0.026477961022842944,2988
Wollongong,2.334486449212381,-0.02643170070428491,2982
Townsville,2.3364068809910465,-0.0245112689256195,3033
Sydney,2.337761230574239,-0.02315691934242725,3337
Williamtown,2.3384278819300235,-0.022490267986642554,2553
NorahHead,2.3393322323544194,-0.021585917562246593,2929
Nuriootpa,2.381857237276933,0.02093908736026684,3003
MelbourneAirport,2.3805675695093034,0.01964941959263733,3009
MountGinini,2.341481204950751,-0.01943694496591508,2907
Sale,2.379253442912664,0.01833529299599812,3000
Brisbane,2.3430946935370187,-0.01782345637964733,3161
Adelaide,2.378573482474049,0.01765533255738294,3091
Newcastle,2.3434532188101462,-0.01746493110651981,2955
Hobart,2.3783268949939216,0.01740874507725554,3188
Uluru,2.3779750776601722,0.0170569277435062,1522
NorfolkIsland,2.3445958271986207,-0.016322322718045346,2964
Bendigo,2.377084755506054,0.016166605589388094,3034
Nhil,2.376828557206855,0.015910407290189,1569
Canberra,2.3761682074635577,0.015250057546891682,3418
Moree,2.375884315906563,0.014966165989896751,2854
SydneyAirport,2.3469071942756154,-0.014010955641050593,3005
WaggaWagga,2.374833181299067,0.013915031382401022,2976
PearceRAAF,2.374622230828259,0.013704080911593142,2762
Ballarat,2.3744271435859483,0.013508993669282265,3028
PerthAirport,2.373873123069186,0.012954973152520033,3009
Witchcliffe,2.349581678599898,-0.011336471316767849,2952
Walpole,2.349876596355288,-0.011041553561378148,2819
Watsonia,2.3716925287356316,0.010774378818965591,2999
Perth,2.3713609484482685,0.01044279853160246,3193
Albury,2.370583671006121,0.009665521089455176,3011
Katherine,2.351598774166483,-0.009319375750183045,1560
Melbourne,2.369469963653015,0.008551813736349168,2435
Launceston,2.36850996256404,0.007591812647373963,3028
MountGambier,2.3668716946424464,0.0059535447257803575,3031
Richmond,2.365632540503275,0.004714390586609163,2951
Dartmoor,2.365446620277616,0.004528470360949832,2942
Tuggeranong,2.3651582962766073,0.004240146359941299,2998
Penrith,2.364869465292491,0.0039513153758248265,2964
Portland,2.3572710358253777,-0.0036471140912883726,2996
BadgerysCreek,2.3644462953522267,0.003528145435560681,2928
Albany,2.363021345997715,0.0021031960810491412,3016
