Location,media_sin_grupo,delta_vs_global,n_grupo
Brisbane,40.31743723730546,0.282207165632272,3152
Penrith,40.220294502469315,0.18506443079612467,2974
Hobart,39.85525687927469,-0.1799731923984993,3170
SydneyAirport,39.87419747578249,-0.16103259589070262,2958
Albury,40.19583323877176,0.16060316709857148,3008
MelbourneAirport,39.87932951597165,-0.1559005557015425,2994
BadgerysCreek,40.177924454122056,0.142694382448866,2933
Melbourne,39.90098319926071,-0.1342468724124828,3179
Wollongong,39.90723497598427,-0.12799509568892375,2992
MountGinini,39.907500226456115,-0.12772984521707542,2721
Perth,40.15965578104523,0.12442570937204067,3188
Richmond,40.150692286170155,0.11546221449696503,2954
Ballarat,39.92261022180531,-0.1126198498678832,3009
Tuggeranong,40.14448562783661,0.10925555616341853,2997
Launceston,40.13532793706029,0.10009786538709875,3007
PerthAirport,39.94186820333651,-0.09336186833667881,2963
Woomera,39.942659214835096,-0.09257085683809407,2970
Adelaide,40.1200484738317,0.08481840215851122,3167
PearceRAAF,39.95851374940491,-0.07671632226828251,2864
WaggaWagga,40.111597688630724,0.07636761695753336,2981
Cobar,40.108931407396206,0.0737013357230154,2967
Mildura,40.10036840074739,0.0651383290742018,3004
MountGambier,39.9712425024015,-0.06398756927168847,2988
NorfolkIsland,39.97755460100429,-0.05767547066889733,2965
GoldCoast,39.98134218344837,-0.05388788822482127,2920
Sale,39.982248789003165,-0.05298128267002511,2868
NorahHead,39.98731918304385,-0.0479108886293389,2950
Cairns,40.081044070361266,0.04581399868807523,3022
Portland,39.98969165727596,-0.045538414397228166,2974
Watsonia,40.07964454528266,0.04441447360947137,2972
Williamtown,39.999554121354564,-0.0356759503186268,2874
Sydney,40.00534272448849,-0.029887347184697433,2306
Nhil,40.005829529297316,-0.02940054237587475,1567
Townsville,40.06249810863974,0.02726803696654656,3017
Bendigo,40.06212697716287,0.026896905489678602,3000
Dartmoor,40.060503413807965,0.025273342134774168,2940
CoffsHarbour,40.05137045727176,0.01614038559856823,2650
Katherine,40.04987728959655,0.014647217923361211,1549
Nuriootpa,40.02089667377592,-0.01433339789726773,2975
Uluru,40.02117106670756,-0.014059004965631061,1524
Darwin,40.02217409084713,-0.013055980826059965,3151
AliceSprings,40.02401518818831,-0.01121488348488242,2989
SalmonGums,40.0415557907469,0.006325719073707603,2917
Walpole,40.040006955101795,0.004776883428604606,2920
Moree,40.03844554492874,0.00321547325555116,2932
Witchcliffe,40.03410955899592,-0.0011205126772679819,2976
Canberra,40.03455010673893,-0.0006799649342568159,3099
