variable,n_faltantes,pct_faltantes
Sunshine,69835,48.00976213391998
Evaporation,62790,43.166506256015396
Cloud3pm,59358,40.80709473394747
Cloud9am,55888,38.42155919153032
Pressure9am,15065,10.356799120033
Pressure3pm,15028,10.331362573903478
WindDir9am,10566,7.263852605527293
WindGustDir,10326,7.098858792795271
WindGustSpeed,10263,7.055547916953114
Humidity3pm,4507,3.09844630826344
WindDir3pm,4228,2.906641000962464
Temp3pm,3609,2.4810944589577892
RainTomorrow_bin,3267,2.245978275814657
RainTomorrow,3267,2.245978275814657
RainToday_bin,3261,2.2418534304963567
Rainfall,3261,2.2418534304963567
RainToday,3261,2.2418534304963567
WindSpeed3pm,3062,2.105046060772721
Humidity9am,2654,1.8245565791282825
Temp9am,1767,1.214766946239516
WindSpeed9am,1767,1.214766946239516
MinTemp,1485,1.0208992162793895
MaxTemp,1261,0.8669049910628353
