modelo,variable,coef,IC95_coef_inf,IC95_coef_sup,OR,IC95_OR_inf,IC95_OR_sup,p_value
M1 Dominio S1/S2,const,-1.7493193674874852,-1.778505175781284,-1.7201335591936864,0.17389225990663124,0.16889042016017072,0.17904223357818672,0.0
M1 Dominio S1/S2,Humidity3pm,1.303808489726858,1.279733126488677,1.327883852965039,3.6832977909264266,3.5956800057643483,3.7730506037506992,0.0
M1 Dominio S1/S2,RainToday_bin,0.03237124253032349,-0.046032051431010745,0.11077453649165772,1.0329008908765027,0.9550113522197005,1.1171430034771317,0.41838160077439246
M1 Dominio S1/S2,Pressure9am,-0.35594693871389493,-0.37659995381943606,-0.3352939236083538,0.7005097891994713,0.6861905268948464,0.7151278624974168,3.9796363143393577e-250
M1 Dominio S1/S2,Rainfall_log1p,0.2760286398583353,0.24275913300342597,0.3092981467132446,1.3178856075439185,1.2747615391533438,1.3624685254662967,1.8568514120072028e-59
M1 Dominio S1/S2,WindGustSpeed,0.44671290002878994,0.4267383040838111,0.4666874959737688,1.5631654501014864,1.532251625258601,1.5947029744403705,0.0
M2 Stepwise,const,-1.818321374516755,-1.8420837527342717,-1.7945589962992383,0.16229795989286913,0.1584868344163098,0.16620073132507876,0.0
M2 Stepwise,Humidity3pm,1.0746789653143127,1.042526422892061,1.1068315077365645,2.9290524221549807,2.8363738497729196,3.0247592687468976,0.0
M2 Stepwise,Humidity9am,0.0952479075122432,0.062235669444630784,0.1282601455798556,1.099931502611477,1.0642131176915257,1.1368487103988416,1.558940485425416e-08
M2 Stepwise,Pressure9am,-0.3476550986620614,-0.37031850473706096,-0.32499169258706184,0.7063424526640147,0.6905143635131411,0.72253335600009,1.360709636229632e-198
M2 Stepwise,Rainfall_log1p,0.24103482262343368,0.2221499121305336,0.25991973311633376,1.2725653486006012,1.2487585678903397,1.2968259903071833,4.123959600979345e-138
M2 Stepwise,WindGustSpeed,0.6941396831411196,0.6648405730530056,0.7234387932292337,2.001985990549695,1.944180541859752,2.061510142737745,0.0
